Row,NumGoodAlgos
1,7
2,7
3,7
4,6
5,7
6,7
7,6
8,0
9,0
10,7
11,7
12,7
13,6
14,5
15,7
16,7
17,0
18,7
19,0
20,3
21,4
22,5
23,6
24,7
25,7
26,7
27,7
28,6
29,7
30,4
31,7
32,5
33,7
34,2
35,7
36,1
37,6
38,0
39,0
40,7
41,7
42,0
43,7
44,1
45,7
46,0
47,7
48,6
49,7
50,6
51,6
52,4
53,2
54,7
55,4
56,7
57,7
58,7
59,7
60,0
61,7
62,7
63,0
64,7
65,7
66,7
67,7
68,5
69,0
70,7
71,1
72,7
73,7
74,0
75,6
76,7
77,7
78,5
79,7
80,0
81,7
82,7
83,7
84,7
85,6
86,5
87,4
88,7
89,7
90,5
91,7
92,4
93,1
94,7
95,0
96,3
97,5
98,7
99,7
100,5
101,4
102,6
103,5
104,7
105,7
106,7
107,7
108,7
109,3
110,7
111,7
112,7
113,7
114,7
115,7
116,6
117,4
118,1
119,6
120,0
121,7
122,6
123,7
124,7
125,7
126,7
127,6
128,7
129,0
130,7
131,7
132,4
133,4
134,5
135,2
136,7
137,7
138,6
139,7
140,7
141,7
142,7
143,5
144,7
145,6
146,7
147,7
148,6
149,5
150,5
151,6
152,0
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,2
161,7
162,0
163,7
164,7
165,7
166,7
167,7
168,0
169,2
170,6
171,0
172,6
173,6
174,7
175,7
176,4
177,7
178,4
179,7
180,7
181,7
182,7
183,7
184,7
185,0
186,7
187,7
188,6
189,7
190,7
191,7
192,6
193,7
194,7
195,7
196,7
197,6
198,7
199,1
200,0
201,0
202,7
203,5
204,7
205,0
206,1
207,1
208,7
209,6
210,2
211,4
212,2
213,7
214,7
215,2
216,7
217,5
218,7
219,7
220,7
221,6
222,7
223,7
224,5
225,0
226,7
227,3
228,7
229,7
230,7
231,0
232,6
233,7
234,7
235,3
236,4
237,5
238,4
239,4
240,3
241,7
242,7
243,1
244,3
245,4
246,7
247,7
248,7
249,2
250,7
251,7
252,7
253,5
254,7
255,7
256,7
257,6
258,7
259,7
260,0
261,6
262,0
263,4
264,6
265,0
266,0
267,0
268,0
269,7
270,7
271,7
272,7
273,2
274,7
275,6
276,7
277,7
278,7
279,0
280,3
281,6
282,0
283,5
284,3
285,7
286,7
287,7
288,7
289,2
290,6
291,2
292,2
293,7
294,6
295,7
296,5
297,7
298,7
299,7
300,7
301,7
302,7
303,3
304,6
305,7
306,5
307,7
308,7
309,7
310,5
311,5
312,0
313,0
314,7
315,1
316,6
317,7
318,6
319,2
320,6
321,2
322,7
323,6
324,2
325,6
326,6
327,0
328,0
329,6
330,3
331,7
332,7
