model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
resnet18,True,128,5000,100,g6.xlarge,0.8,61.18356649398804,81.72129031561613,0.018160286736803585
bert_base,True,8,5000,100,g6.xlarge,0.8,19.390574407577514,257.8572400643316,0.05730160890318481
retinanet,True,8,300,10,g6.xlarge,0.8,1.5380967815717062,195.04624389984394,0.04334360975552088
maskrcnn,True,8,600,10,g6.xlarge,0.8,0.9632295822103818,622.9044571317497,0.1384232126959444
