model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
bert_base,False,32,2000,-1,g6.xlarge,0.8,46.61228561401367,42.90714290566162,0.009534920645702584
bert_base,False,16,2000,-1,g6.xlarge,0.8,76.79083251953125,26.044775585566324,0.005787727907903628
bert_base,False,8,2000,-1,g6.xlarge,0.8,86.13209533691406,23.220147985217423,0.005160032885603872
bert_base,False,4,2000,-1,g6.xlarge,0.8,90.0196533203125,22.217370609987782,0.004937193468886174
bert_base,False,2,2000,-1,g6.xlarge,0.8,91.16259002685547,21.938823802733364,0.0048752941783851925
bert_base,False,1,2000,-1,g6.xlarge,0.8,92.13735961914062,21.70672144575456,0.004823715876834347
