model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
bert_base,False,32,2000,-1,g5.xlarge,1.01,43.2730598449707,46.21813218582565,0.012966753752134418
bert_base,False,16,2000,-1,g5.xlarge,1.01,51.959102630615234,38.49181180472436,0.010799091645214334
bert_base,False,8,2000,-1,g5.xlarge,1.01,56.56052780151367,35.36034895251589,0.009920542345011402
bert_base,False,4,2000,-1,g5.xlarge,1.01,58.71815490722656,34.06101576522555,0.00955600720079939
bert_base,False,2,2000,-1,g5.xlarge,1.01,74.3031234741211,26.916768858264437,0.007551649040790856
bert_base,False,1,2000,-1,g5.xlarge,1.01,76.58482360839844,26.11483458167391,0.007326661924302958
