model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
bert_base,True,32,2000,20,g6.xlarge,0.8,14.931037155389786,133.9491677092266,0.029766481713161468
bert_base,True,16,2000,20,g6.xlarge,0.8,18.25119320869446,109.5818764905324,0.0243515281090072
bert_base,True,8,2000,20,g6.xlarge,0.8,19.410438063144685,103.03734482929954,0.022897187739844345
bert_base,True,4,2000,20,g6.xlarge,0.8,19.85508496761322,100.7298635720933,0.022384414127131845
bert_base,True,2,2000,20,g6.xlarge,0.8,20.105146305561064,99.47701795369686,0.022106003989710413
bert_base,True,1,2000,20,g6.xlarge,0.8,20.299533984661103,98.52442925592558,0.021894317612427907
