Water Temperature [Water Temperature],WT
Groundwater [GroundWater],GW
Stage [Water Level],WL
Rainfall [SCADA Rainfall],RF
Water Temperature [Dissolved Oxygen sensor],WT
Water Temperature [Conductivity sensor],WT
Water Temperature (-500 mm) [Water Temperature (-500 mm)],WT
Water Temperature (-1000 mm) [Water Temperature (-1000 mm)],WT
Water Temperature (-1500 mm) [Water Temperature (-1500 mm)],WT
Water Temperature (-2000 mm) [Water Temperature (-2000 mm)],WT
Water Temperature (-2500 mm) [Water Temperature (-2500 mm)],WT
Water Temperature (-3000 mm) [Water Temperature (-3000 mm)],WT
Water Temperature (-3500 mm) [Water Temperature (-3500 mm)],WT
Water Temperature (-4000 mm) [Water Temperature (-4000 mm)],WT
Water Temperature (-4500 mm) [Water Temperature (-4500 mm)],WT
Water Temperature (-5000 mm) [Water Temperature (-5000 mm)],WT
Water Temperature (-5500 mm) [Water Temperature (-5500 mm)],WT
Water Temperature (-6000 mm) [Water Temperature (-6000 mm)],WT
Water Temperature (-6500 mm) [Water Temperature (-6500 mm)],WT
Water Temperature (-7000 mm) [Water Temperature (-7000 mm)],WT
Water Temperature (-7500 mm) [Water Temperature (-7500 mm)],WT
Water Temperature (-8000 mm) [Water Temperature (-8000 mm)],WT
Water Temperature (-8500 mm) [Water Temperature (-8500 mm)],WT
Water Temperature (-9000 mm) [Water Temperature (-9000 mm)],WT
Water Temperature (-9500 mm) [Water Temperature (-9500 mm)],WT
Water Temperature (-10000 mm) [Water Temperature (-10000 mm)],WT
Water Temperature (NIWA) [Water Temperature (NIWA)],WT
