model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
resnet18,False,128,5000,-1,g5.xlarge,1.01,1145.074951171875,4.366526396270372,0.001225053238953632
bert_base,False,8,5000,-1,g5.xlarge,1.01,58.67851638793945,85.21006166794768,0.02390615619017421
retinanet,False,8,300,-1,g5.xlarge,1.01,0.22227269411087036,1349.6934529005123,0.37866399650819926
maskrcnn,False,8,600,-1,g5.xlarge,1.01,1.372450351715088,437.17428411906315,0.12265167415562604
