flops,imem,pmem,ai_estimate,block_repeat
13529190136.0,189370684.0,19684136.0,64.71599236984825,1
28026670840.0,319715900.0,44782376.0,76.89109300478557,2
42524151544.0,450061116.0,69880616.0,81.7863789860207,3
57021632248.0,580406332.0,94978856.0,84.42831329608609,4
71519112952.0,710751548.0,120077096.0,86.08166493595279,5
86016593656.0,841096764.0,145175336.0,87.2138567602186,6
100514074360.0,971441980.0,170273576.0,88.03775496600136,7
115011555064.0,1101787196.0,195371816.0,88.66419151393907,8
129509035768.0,1232132412.0,220470056.0,89.15655771004789,9
144006516472.0,1362477628.0,245568296.0,89.55373371040615,10
