model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
resnet18,True,128,5000,100,g6.xlarge,0.8,64.10567737579346,77.99621195310883,0.017332491545135296
resnet18,True,64,5000,100,g6.xlarge,0.8,113.3809842300415,44.09910563005323,0.00979980125112294
resnet18,True,32,5000,100,g6.xlarge,0.8,125.6690947341919,39.78702966370304,0.008841562147489565
bert_base,True,8,5000,100,g6.xlarge,0.8,19.521943893432617,256.1220351464104,0.05691600781031342
bert_base,True,4,5000,100,g6.xlarge,0.8,19.802074489593505,252.498797670296,0.05611084392673245
bert_base,True,2,5000,100,g6.xlarge,0.8,20.00404640197754,249.94943020656635,0.05554431782368141
retinanet,True,8,300,10,g6.xlarge,0.8,18.390761323769887,16.31253838372927,0.0036250085297176156
retinanet,True,4,300,10,g6.xlarge,0.8,18.72316215435664,16.022934455555834,0.00356065210123463
retinanet,True,2,300,10,g6.xlarge,0.8,18.74499925772349,16.004268438495203,0.0035565040974433787
maskrcnn,True,8,600,10,g6.xlarge,0.8,19.024958713849387,31.537519162300452,0.007008337591622323
maskrcnn,True,4,600,10,g6.xlarge,0.8,19.318662772576015,31.058050293819274,0.006901788954182061
maskrcnn,True,2,600,10,g6.xlarge,0.8,19.57036895751953,30.658594189122926,0.0068130209309162065
resnet18,False,128,5000,-1,g6.xlarge,0.8,1730.173828125,2.8898830387571697,0.0006421962308349266
resnet18,False,64,5000,-1,g6.xlarge,0.8,3926.64794921875,1.273350721700122,0.0002829668270444716
resnet18,False,32,5000,-1,g6.xlarge,0.8,3656.9025065104165,1.3672773586658258,0.0003038394130368502
bert_base,False,8,5000,-1,g6.xlarge,0.8,94.31170654296875,53.015687906378645,0.011781263979195255
bert_base,False,4,5000,-1,g6.xlarge,0.8,98.57427978515625,50.723170495362034,0.011271815665636007
bert_base,False,2,5000,-1,g6.xlarge,0.8,99.3244400024414,50.34007742582892,0.011186683872406428
retinanet,False,8,300,-1,g6.xlarge,0.8,52.24501419067383,5.7421747251348725,0.0012760388278077496
retinanet,False,4,300,-1,g6.xlarge,0.8,53.15721130371094,5.643636914772781,0.0012541415366161737
retinanet,False,2,300,-1,g6.xlarge,0.8,53.59533182779948,5.597502427336262,0.0012438894282969471
maskrcnn,False,8,600,-1,g6.xlarge,0.8,68.67499542236328,8.736804368313308,0.001941512081847402
maskrcnn,False,4,600,-1,g6.xlarge,0.8,70.26488240559895,8.53911626204031,0.0018975813915645132
maskrcnn,False,2,600,-1,g6.xlarge,0.8,70.93819681803386,8.458066696269173,0.0018795703769487052
