model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
resnet18,True,128,5000,100,g5.xlarge,1.01,52.62247873306274,95.01642872741562,0.026657386948524934
resnet18,True,64,5000,100,g5.xlarge,1.01,95.3379817199707,52.444995266274205,0.01471373478303804
resnet18,True,32,5000,100,g5.xlarge,1.01,104.56287021636963,47.818121190185494,0.013415639556135374
bert_base,True,8,5000,100,g5.xlarge,1.01,23.213841562271117,215.3887363531582,0.06042850658796938
bert_base,True,4,5000,100,g5.xlarge,1.01,24.365657100677492,205.20686059646525,0.05757192477845274
bert_base,True,2,5000,100,g5.xlarge,1.01,27.041615409851076,184.90019639058005,0.05187477732069051
retinanet,True,8,300,10,g5.xlarge,1.01,21.530673787991205,13.933609461275934,0.003909151543302415
retinanet,True,4,300,10,g5.xlarge,1.01,22.43504547079404,13.371936348002514,0.003751571030967372
retinanet,True,2,300,10,g5.xlarge,1.01,24.841280422608055,12.076672172138515,0.0033881774705166387
maskrcnn,True,8,600,10,g5.xlarge,1.01,22.20301327308019,27.023359064846556,0.007581553515415283
maskrcnn,True,4,600,10,g5.xlarge,1.01,23.177952328324313,25.88666986197818,0.007262649044610545
maskrcnn,True,2,600,10,g5.xlarge,1.01,25.723759804169337,23.324739640227527,0.006543885287952723
resnet18,False,128,5000,-1,g5.xlarge,1.01,2828.4832763671875,1.7677318588999538,0.0004959469937469315
resnet18,False,64,5000,-1,g5.xlarge,1.01,2995.1381022135415,1.6693721055148594,0.00046835161849166884
resnet18,False,32,5000,-1,g5.xlarge,1.01,3259.34716796875,1.534049532721621,0.00043038611890245477
bert_base,False,8,5000,-1,g5.xlarge,1.01,60.796165466308594,82.24202894458614,0.023073458120564442
bert_base,False,4,5000,-1,g5.xlarge,1.01,62.724613189697266,79.71352465544207,0.022364072194999023
bert_base,False,2,5000,-1,g5.xlarge,1.01,81.85496520996094,61.08364944233767,0.017137357204655847
retinanet,False,8,300,-1,g5.xlarge,1.01,36.525699615478516,8.213395038513344,0.0023043136080273547
retinanet,False,4,300,-1,g5.xlarge,1.01,37.6651611328125,7.964920127174262,0.002234602591235001
retinanet,False,2,300,-1,g5.xlarge,1.01,43.66279729207357,6.870837843787466,0.001927651728395928
maskrcnn,False,8,600,-1,g5.xlarge,1.01,46.37214660644531,12.93880149849706,0.0036300526426338974
maskrcnn,False,4,600,-1,g5.xlarge,1.01,47.80287297566732,12.55154685588485,0.0035214062012343603
maskrcnn,False,2,600,-1,g5.xlarge,1.01,57.98452631632487,10.347588194940156,0.002903073354691544
