Value,Count,ID,HWSD2_SMU_,WISE30s_SM,HWSD1_SMU_,COVERAGE,SHARE,WRB4,WRB_PHASES,WRB2,WRB2_CODE,FAO90,KOPPEN,TEXTURE_US,REF_BULK_D,BULK_DENSI,DRAINAGE,ROOT_DEPTH,AWC,PHASE1,PHASE2,ROOTS,IL,ADD_PROP,CODE,VALUE_1,geometry,Type
7046,28448.0,71279,7046,WD40007046,7046,1,90,UMcm,UMcm,UM,32,CMu,D,9,1.61,1.04,MW,1,122,0,0,1,1,0,9,Loam,,Loam
7001,531265.0,291461,7001,WD30007001,7001,1,100,TC,TC,TC,31,UR,C,0,0.0,-9.0,,1,0,0,0,0,0,0,0,,,Default
7061,482192.0,84210,7061,WD40007061,7061,1,100,FLdy,FLdy,FL,10,FLd,D,9,1.48,1.37,MW,3,42,30,0,5,1,0,9,Loam,,Loam
7351,1471.0,63204,7351,WD40007351,7351,1,80,CMeu,CMskeu,CM,8,CMe,D,9,1.59,1.24,MW,1,140,25,0,1,1,0,9,Loam,,Loam
7361,23426.0,63165,7361,WD40007361,7361,1,90,CMeu,CMskeu,CM,8,CMe,D,9,1.59,1.24,MW,1,140,25,0,1,1,0,9,Loam,,Loam
7372,4155.0,63198,7372,WD40007372,7372,1,90,CMeu,CMskeu,CM,8,CMe,D,9,1.59,1.24,MW,1,140,25,0,1,1,0,9,Loam,,Loam
7379,146931.0,63202,7379,WD40007379,7379,1,100,CMeu,CMskeu,CM,8,CMe,D,9,1.59,1.24,MW,1,140,25,0,1,1,0,9,Loam,,Loam
7482,2599.0,32704,7482,WD40007482,7482,1,80,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,1,1,0,9,Loam,,Loam
7505,48974.0,32709,7505,WD40007505,7505,1,90,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,1,1,0,9,Loam,,Loam
7515,608122.0,32678,7515,WD40007515,7515,1,100,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,1,1,0,9,Loam,,Loam
7879,8261.0,151996,7879,WD40007879,7879,1,80,LPrz,LPrz,LP,18,LPk,D,9,1.75,1.27,I,3,35,0,0,0,0,0,9,Loam,,Loam
7889,336889.0,151979,7889,WD40007889,7889,1,90,LPrz,LPrz,LP,18,LPk,D,9,1.75,1.27,I,3,35,0,0,0,0,0,9,Loam,,Loam
8416,2639.0,229135,8416,WD40008416,8416,1,90,PHha,PHha,PH,22,PHh,D,9,1.79,1.48,MW,1,181,0,0,1,1,0,9,Loam,,Loam
8427,461.0,229159,8427,WD40008427,8427,1,90,PHha,PHha,PH,22,PHh,D,9,1.79,1.48,MW,1,181,0,0,1,1,0,9,Loam,,Loam
8429,2628.0,229059,8429,WD40008429,8429,1,90,PHha,PHha,PH,22,PHh,D,9,1.79,1.48,MW,1,181,0,0,1,1,0,9,Loam,,Loam
8431,39255.0,229068,8431,WD40008431,8431,1,100,PHha,PHha,PH,22,PHh,D,9,1.79,1.48,MW,1,181,0,0,1,1,0,9,Loam,,Loam
8495,678684.0,84175,8495,WD40008495,8495,1,100,FLdy,FLdy,FL,10,FLd,D,9,1.48,1.37,MW,1,129,30,0,1,1,0,9,Loam,,Loam
8846,274644.0,242975,8846,WD40008846,8846,1,100,PZrs,PZrs,PZ,25,PZf,D,12,1.33,1.06,SE,1,86,0,0,1,1,0,12,Loamy sand,,LoamySand
9246,928.0,139694,9246,WD40009246,9246,1,80,LPdy,LPskkkdy,LP,18,LPd,D,9,1.61,1.37,I,3,29,1,25,0,0,0,9,Loam,,Loam
9253,3817.0,139680,9253,WD40009253,9253,1,90,LPdy,LPskkkdy,LP,18,LPd,D,9,1.61,1.37,I,3,29,1,25,0,0,0,9,Loam,,Loam
9309,11354.0,280540,9309,WD40009309,9309,1,100,SCgl,SCgl,SC,28,SCg,D,9,1.67,1.33,P,1,90,0,0,2,1,0,9,Loam,,Loam
11000,181128.0,194678,11000,WD40011000,11000,2,100,LVha,LVha,LV,19,LVh,D,7,1.69,1.48,MW,1,159,0,0,0,0,0,7,Silt loam,,SiltLoam
11003,2998.0,196184,11003,WD40011003,11003,2,100,STlv,STlv,ST,30,LVj,D,7,1.72,1.49,P,1,175,0,0,0,0,0,7,Silt loam,,SiltLoam
11020,13527.0,49055,11020,WD40011020,11020,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11021,808.0,49050,11021,WD40011021,11021,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11023,346.0,44353,11023,WD20011023,11023,2,100,CMca,CMleca,CM,8,CMc,B,9,1.71,1.46,MW,3,44,2,0,0,0,0,9,Loam,,Loam
