Value,Count,ID,HWSD2_SMU_,WISE30s_SM,HWSD1_SMU_,COVERAGE,SHARE,WRB4,WRB_PHASES,WRB2,WRB2_CODE,FAO90,KOPPEN,TEXTURE_US,REF_BULK_D,BULK_DENSI,DRAINAGE,ROOT_DEPTH,AWC,PHASE1,PHASE2,ROOTS,IL,ADD_PROP,CODE,VALUE_1,geometry,Type
11024,1011.0,49047,11024,WD40011024,11024,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11025,2932.0,49044,11025,WD40011025,11025,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11027,9490.0,49042,11027,WD40011027,11027,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11028,1200.0,47588,11028,WD30011028,11028,2,100,CMca,CMca,CM,8,CMc,C,5,1.83,1.48,MW,1,168,0,0,0,0,0,5,Clay loam,,ClayLoam
11029,785.0,49069,11029,WD40011029,11029,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11030,598.0,49080,11030,WD40011030,11030,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11031,3061.0,49079,11031,WD40011031,11031,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11032,821.0,49076,11032,WD40011032,11032,2,100,CMca,CMkkca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,18,0,0,0,0,9,Loam,,Loam
11034,151.0,49074,11034,WD40011034,11034,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11035,33966.0,49067,11035,WD40011035,11035,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11036,1047.0,44413,11036,WD20011036,11036,2,100,CMca,CMca,CM,8,CMc,B,9,1.71,1.46,MW,1,173,0,0,0,0,0,9,Loam,,Loam
11037,309.0,49072,11037,WD40011037,11037,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11039,553.0,49071,11039,WD40011039,11039,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11040,1915.0,49056,11040,WD40011040,11040,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11041,36776.0,49068,11041,WD40011041,11041,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11042,451.0,44396,11042,WD20011042,11042,2,100,CMca,CMca,CM,8,CMc,B,9,1.71,1.46,MW,1,173,0,0,0,0,0,9,Loam,,Loam
11043,699.0,49081,11043,WD40011043,11043,2,100,CMca,CMkkca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,18,0,0,0,0,9,Loam,,Loam
11045,313.0,44402,11045,WD20011045,11045,2,100,CMca,CMca,CM,8,CMc,B,9,1.71,1.46,MW,1,173,0,0,0,0,0,9,Loam,,Loam
11046,1219.0,44398,11046,WD20011046,11046,2,100,CMca,CMca,CM,8,CMc,B,9,1.71,1.46,MW,1,173,0,0,0,0,0,9,Loam,,Loam
11048,9170.0,49065,11048,WD40011048,11048,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11049,2623.0,49063,11049,WD40011049,11049,2,100,CMca,CMkkca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,18,0,0,0,0,9,Loam,,Loam
11050,1979.0,49061,11050,WD40011050,11050,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11051,122.0,49060,11051,WD40011051,11051,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11052,39625.0,200157,11052,WD40011052,11052,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11053,19757.0,200158,11053,WD40011053,11053,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11054,1887.0,200152,11054,WD40011054,11054,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11055,1774.0,200160,11055,WD40011055,11055,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11056,6188.0,200165,11056,WD40011056,11056,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11057,14676.0,200149,11057,WD40011057,11057,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11058,10325.0,200162,11058,WD40011058,11058,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11059,215.0,200166,11059,WD40011059,11059,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11060,111.0,200167,11060,WD40011060,11060,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11062,244.0,199261,11062,WD30011062,11062,2,100,LVcc,LVcc,LV,19,LVk,C,9,1.76,1.42,MW,1,146,0,0,0,0,0,9,Loam,,Loam
11063,3977.0,200159,11063,WD40011063,11063,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11064,417.0,200150,11064,WD40011064,11064,2,100,LVcc,LVcc,LV,19,LVk,D,9,1.71,1.52,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11065,9259.0,187438,11065,WD40011065,11065,2,100,LVgl,LVgl,LV,19,LVg,D,7,1.73,1.51,P,1,176,0,0,0,0,0,7,Silt loam,,SiltLoam
11067,93.0,187447,11067,WD40011067,11067,2,100,LVgl,LVgl,LV,19,LVg,D,7,1.73,1.51,P,1,176,0,0,0,0,0,7,Silt loam,,SiltLoam
11069,1068.0,186663,11069,WD30011069,11069,2,100,LVgl,LVgl,LV,19,LVg,C,7,1.67,1.52,P,1,179,0,0,0,0,0,7,Silt loam,,SiltLoam
11070,155.0,186664,11070,WD30011070,11070,2,100,LVgl,LVgl,LV,19,LVg,C,7,1.67,1.52,P,1,179,0,0,0,0,0,7,Silt loam,,SiltLoam
11073,4410.0,187450,11073,WD40011073,11073,2,100,LVgl,LVgl,LV,19,LVg,D,7,1.73,1.51,P,1,176,0,0,0,0,0,7,Silt loam,,SiltLoam
11075,2902.0,187452,11075,WD40011075,11075,2,100,LVgl,LVgl,LV,19,LVg,D,7,1.73,1.51,P,1,176,0,0,0,0,0,7,Silt loam,,SiltLoam
11076,22933.0,187446,11076,WD40011076,11076,2,100,LVgl,LVgl,LV,19,LVg,D,7,1.73,1.51,P,1,176,0,0,0,0,0,7,Silt loam,,SiltLoam
11077,1148.0,187436,11077,WD40011077,11077,2,100,LVgl,LVglkk,LV,19,LVg,D,7,1.73,1.51,P,1,176,18,0,0,0,0,7,Silt loam,,SiltLoam
11078,3023.0,186665,11078,WD30011078,11078,2,100,LVgl,LVglkk,LV,19,LVg,C,7,1.67,1.52,P,1,179,18,0,0,0,0,7,Silt loam,,SiltLoam
11079,1260.0,32265,11079,WD40011079,11079,2,100,ATpa&ATtr,AThy,AT,5,ATc,D,9,1.78,1.35,MW,1,135,0,0,0,0,0,9,Loam,,Loam
11080,196.0,31789,11080,WD30011080,11080,2,100,ATpa&ATtr,AThy,AT,5,ATc,C,9,1.78,1.4,MW,1,135,0,0,0,0,0,9,Loam,,Loam
11081,5342.0,32357,11081,WD40011081,11081,2,100,ATht,ATht,AT,5,ATf,D,9,1.75,1.37,MW,1,135,0,0,0,0,0,9,Loam,,Loam
11082,538.0,31794,11082,WD30011082,11082,2,100,ATpa&ATtr,AThy,AT,5,ATc,C,9,1.78,1.4,MW,1,135,0,0,0,0,0,9,Loam,,Loam
11083,1723.0,32261,11083,WD40011083,11083,2,100,ATpa&ATtr,AThy,AT,5,ATc,D,9,1.78,1.35,MW,1,135,0,0,0,0,0,9,Loam,,Loam
11084,3848.0,32272,11084,WD40011084,11084,2,100,ATpa&ATtr,AThy,AT,5,ATc,D,9,1.78,1.35,MW,1,135,0,0,0,0,0,9,Loam,,Loam
11085,4134.0,32269,11085,WD40011085,11085,2,100,ATpa&ATtr,AThy,AT,5,ATc,D,9,1.78,1.35,MW,1,135,0,0,0,0,0,9,Loam,,Loam
11087,36407.0,49057,11087,WD40011087,11087,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,23,0,0,0,0,9,Loam,,Loam
11088,10040.0,49073,11088,WD40011088,11088,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,23,0,0,0,0,9,Loam,,Loam
11089,350.0,49058,11089,WD40011089,11089,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,23,0,0,0,0,9,Loam,,Loam
11090,82.0,49059,11090,WD40011090,11090,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,23,0,0,0,0,9,Loam,,Loam
11091,11840.0,49062,11091,WD40011091,11091,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,23,0,0,0,0,9,Loam,,Loam
11092,11545.0,49064,11092,WD40011092,11092,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,23,0,0,0,0,9,Loam,,Loam
11093,4019.0,49070,11093,WD40011093,11093,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,23,0,0,0,0,9,Loam,,Loam
11094,708.0,49077,11094,WD40011094,11094,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11096,192.0,47735,11096,WD30011096,11096,2,100,CMca,CMca,CM,8,CMc,C,5,1.83,1.48,MW,1,168,0,0,0,0,0,5,Clay loam,,ClayLoam
11097,327.0,44387,11097,WD20011097,11097,2,100,CMca,CMca,CM,8,CMc,B,9,1.71,1.46,MW,1,173,0,0,0,0,0,9,Loam,,Loam
11098,82.0,49048,11098,WD40011098,11098,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11099,277.0,49053,11099,WD40011099,11099,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11100,5073.0,49054,11100,WD40011100,11100,2,100,CMca,CMkkca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,18,0,0,0,0,9,Loam,,Loam
11101,395.0,49078,11101,WD40011101,11101,2,100,CMca,CMca,CM,8,CMc,D,9,1.71,1.41,MW,1,165,0,0,0,0,0,9,Loam,,Loam
11102,168.0,44354,11102,WD20011102,11102,2,100,CMca,CMca,CM,8,CMc,B,9,1.71,1.46,MW,1,173,0,0,0,0,0,9,Loam,,Loam
11103,35950.0,123261,11103,WD20011103,11103,2,100,PHgz,PHgz,PH,22,GRh,B,9,1.73,1.28,MW,1,171,0,0,0,0,0,9,Loam,,Loam
11106,3217.0,32524,11106,WD20011106,11106,2,100,CHha,CHha,CH,6,CHh,B,9,1.74,1.26,MW,1,137,0,0,0,0,0,9,Loam,,Loam
11107,759.0,34041,11107,WD40011107,11107,2,100,CHcc,CHcc,CH,6,CHk,D,5,1.82,1.33,MW,1,161,0,0,0,0,0,5,Clay loam,,ClayLoam
11108,23193.0,35037,11108,WD40011108,11108,2,100,CHlv,CHlv,CH,6,CHl,D,9,1.79,1.36,MW,1,164,0,0,0,0,0,9,Loam,,Loam
11110,18665.0,33793,11110,WD20011110,11110,2,100,CHcc,CHcc,CH,6,CHk,B,5,1.83,1.29,MW,1,131,0,0,0,0,0,5,Clay loam,,ClayLoam
11111,3461.0,63361,11111,WD40011111,11111,2,100,CMeu,CMeu,CM,8,CMe,D,9,1.59,1.24,MW,1,140,23,0,0,0,0,9,Loam,,Loam
11112,86637.0,229198,11112,WD40011112,11112,2,100,PHha,PHha,PH,22,PHh,D,9,1.79,1.48,MW,1,181,0,0,0,0,0,9,Loam,,Loam
11113,13065.0,226225,11113,WD40011113,11113,2,100,PHgl,PHgl,PH,22,PHg,D,5,1.82,1.32,P,1,170,0,0,0,0,0,5,Clay loam,,ClayLoam
11114,4042.0,230339,11114,WD40011114,11114,2,100,STmo,STmo,ST,30,PHj,D,5,1.85,1.19,P,1,183,0,0,0,0,0,5,Clay loam,,ClayLoam
11115,828.0,230340,11115,WD40011115,11115,2,100,STmo,STmo,ST,30,PHj,D,5,1.85,1.19,P,1,183,0,0,0,0,0,5,Clay loam,,ClayLoam
11116,17947.0,123262,11116,WD20011116,11116,2,100,PHgz,PHgz,PH,22,GRh,B,9,1.73,1.28,MW,1,171,0,0,0,0,0,9,Loam,,Loam
11117,883.0,123465,11117,WD40011117,11117,2,100,PHgz,PHgz,PH,22,GRh,D,7,1.73,1.28,MW,1,183,0,0,0,0,0,7,Silt loam,,SiltLoam
11118,2341.0,19204,11118,WD40011118,11118,2,100,ARbr,ARbr,AR,4,ARb,D,12,1.2,1.55,SE,1,89,0,0,0,0,0,12,Loamy sand,,LoamySand
11119,33772.0,123451,11119,WD40011119,11119,2,100,PHgz,PHgz,PH,22,GRh,D,7,1.73,1.28,MW,1,183,0,0,0,0,0,7,Silt loam,,SiltLoam
11120,98656.0,32777,11120,WD40011120,11120,2,100,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,0,0,0,9,Loam,,Loam
11121,62.0,32778,11121,WD40011121,11121,2,100,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,0,0,0,9,Loam,,Loam
11122,7473.0,32779,11122,WD40011122,11122,2,100,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,0,0,0,9,Loam,,Loam
11123,94.0,32780,11123,WD40011123,11123,2,100,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,0,0,0,9,Loam,,Loam
11124,1929.0,32781,11124,WD40011124,11124,2,100,CHha,CHha,CH,6,CHh,D,9,1.75,1.29,MW,1,139,0,0,0,0,0,9,Loam,,Loam
11125,1659.0,20940,11125,WD40011125,11125,2,100,ARca,ARca,AR,4,ARc,D,12,1.2,1.54,SE,1,71,0,0,0,0,0,12,Loamy sand,,LoamySand
11127,503.0,25522,11127,WD40011127,11127,2,100,AR,ARye,AR,4,ARh,D,12,1.2,1.44,SE,1,84,22,0,0,0,0,12,Loamy sand,,LoamySand
11128,12016.0,35043,11128,WD40011128,11128,2,100,CHlv,CHlv,CH,6,CHl,D,9,1.79,1.36,MW,1,164,0,0,0,0,0,9,Loam,,Loam
11129,70.0,35044,11129,WD40011129,11129,2,100,CHlv,CHlv,CH,6,CHl,D,9,1.79,1.36,MW,1,164,0,0,0,0,0,9,Loam,,Loam
11130,470.0,35046,11130,WD40011130,11130,2,100,CHlv,CHlv,CH,6,CHl,D,9,1.79,1.36,MW,1,164,0,0,0,0,0,9,Loam,,Loam
11131,235.0,35048,11131,WD40011131,11131,2,100,CHlv,CHsklv,CH,6,CHl,D,9,1.79,1.36,MW,1,164,20,0,0,0,0,9,Loam,,Loam
11132,26679.0,34013,11132,WD40011132,11132,2,100,CHcc,CHcc,CH,6,CHk,D,5,1.82,1.33,MW,1,161,0,0,0,0,0,5,Clay loam,,ClayLoam
11134,1418.0,33794,11134,WD20011134,11134,2,100,CHcc,CHcc,CH,6,CHk,B,5,1.83,1.29,MW,1,131,0,0,0,0,0,5,Clay loam,,ClayLoam
11135,77.0,33797,11135,WD20011135,11135,2,100,CHcc,CHcc,CH,6,CHk,B,5,1.83,1.29,MW,1,131,0,0,0,0,0,5,Clay loam,,ClayLoam
11136,261.0,31460,11136,WD40011136,11136,2,100,AT,AT,AT,5,ATa,D,11,1.63,1.37,MW,1,111,0,0,0,0,0,11,Sandy loam,,SandyLoam
11138,40917.0,34040,11138,WD40011138,11138,2,100,CHcc,CHcc,CH,6,CHk,D,5,1.82,1.33,MW,1,161,0,0,0,0,0,5,Clay loam,,ClayLoam
11139,2628.0,34029,11139,WD40011139,11139,2,100,CHcc,CHcc,CH,6,CHk,D,5,1.82,1.33,MW,1,161,0,0,0,0,0,5,Clay loam,,ClayLoam
11140,1437.0,34022,11140,WD40011140,11140,2,100,CHcc,CHcc,CH,6,CHk,D,5,1.82,1.33,MW,1,161,0,0,0,0,0,5,Clay loam,,ClayLoam
11141,26503.0,32438,11141,WD40011141,11141,2,100,CHgl,CHgl,CH,6,CHg,D,5,1.84,1.43,P,1,175,0,0,0,0,0,5,Clay loam,,ClayLoam
11143,7413.0,34039,11143,WD40011143,11143,2,100,CHcc,CHcc,CH,6,CHk,D,5,1.82,1.33,MW,1,161,19,0,0,0,0,5,Clay loam,,ClayLoam
11144,29.0,33792,11144,WD20011144,11144,2,100,CHcc,CHcc,CH,6,CHk,B,5,1.83,1.29,MW,1,131,0,0,0,0,0,5,Clay loam,,ClayLoam
11145,127599.0,137000,11145,WD20011145,11145,2,100,KSlv,KSlv,KS,17,KSl,B,9,1.76,1.45,MW,1,152,0,0,0,0,0,9,Loam,,Loam
11146,4308.0,137721,11146,WD40011146,11146,2,100,KSlv,KSlv,KS,17,KSl,D,9,1.75,1.45,MW,1,158,0,0,0,0,0,9,Loam,,Loam
11148,34914.0,137025,11148,WD20011148,11148,2,100,KSlv,KSlv,KS,17,KSl,B,9,1.76,1.45,MW,1,152,0,0,0,0,0,9,Loam,,Loam
11149,861.0,137718,11149,WD40011149,11149,2,100,KSlv,KSlv,KS,17,KSl,D,9,1.75,1.45,MW,1,158,0,0,0,0,0,9,Loam,,Loam
11150,882.0,137027,11150,WD20011150,11150,2,100,KSlv,KSlv,KS,17,KSl,B,9,1.76,1.45,MW,1,152,0,0,0,0,0,9,Loam,,Loam
11151,9709.0,137026,11151,WD20011151,11151,2,100,KSlv,KSlv,KS,17,KSl,B,9,1.76,1.45,MW,1,152,0,0,0,0,0,9,Loam,,Loam
11152,13043.0,137714,11152,WD40011152,11152,2,100,KSlv,KSlvsk,KS,17,KSl,D,9,1.75,1.45,MW,1,158,20,0,0,0,0,9,Loam,,Loam
11153,57.0,137725,11153,WD40011153,11153,2,100,KSlv,KSlvye,KS,17,KSl,D,9,1.75,1.45,MW,1,158,22,0,0,0,0,9,Loam,,Loam
11154,15148.0,19215,11154,WD40011154,11154,2,100,ARbr,ARbrye,AR,4,ARb,D,12,1.2,1.55,SE,1,89,22,0,0,0,0,12,Loamy sand,,LoamySand
11156,6823.0,19217,11156,WD40011156,11156,2,100,ARbr,ARbrye,AR,4,ARb,D,12,1.2,1.55,SE,1,89,22,0,0,0,0,12,Loamy sand,,LoamySand
11157,3154.0,43789,11157,WD40011157,11157,2,100,CLpt,CLptye,CL,7,CLp,D,11,1.69,1.42,MW,1,122,22,0,0,0,0,11,Sandy loam,,SandyLoam
11158,118315.0,133995,11158,WD20011158,11158,2,100,KSha,KSha,KS,17,KSh,B,9,1.71,1.47,MW,1,174,0,0,0,0,0,9,Loam,,Loam
11159,456.0,135310,11159,WD40011159,11159,2,100,KSha,KSha,KS,17,KSh,D,9,1.72,1.43,MW,1,158,0,0,0,0,0,9,Loam,,Loam
11160,499.0,134039,11160,WD20011160,11160,2,100,KSha,KSha,KS,17,KSh,B,9,1.71,1.47,MW,1,174,0,0,0,0,0,9,Loam,,Loam
11161,15775.0,134086,11161,WD20011161,11161,2,100,KSha,KSha,KS,17,KSh,B,9,1.71,1.47,MW,1,174,0,0,0,0,0,9,Loam,,Loam
11162,141.0,135311,11162,WD40011162,11162,2,100,KSha,KSha,KS,17,KSh,D,9,1.72,1.43,MW,1,158,0,0,0,0,0,9,Loam,,Loam
11163,149.0,134072,11163,WD20011163,11163,2,100,KSha,KSha,KS,17,KSh,B,9,1.71,1.47,MW,1,174,0,0,0,0,0,9,Loam,,Loam
11164,200.0,134073,11164,WD20011164,11164,2,100,KSha,KSha,KS,17,KSh,B,9,1.71,1.47,MW,1,174,0,0,0,0,0,9,Loam,,Loam
11165,4809.0,134074,11165,WD20011165,11165,2,100,KSha,KSha,KS,17,KSh,B,9,1.71,1.47,MW,1,174,0,0,0,0,0,9,Loam,,Loam
11166,18445.0,134043,11166,WD20011166,11166,2,100,KSha,KSha,KS,17,KSh,B,9,1.71,1.47,MW,1,174,0,0,0,0,0,9,Loam,,Loam
11167,12290.0,134037,11167,WD20011167,11167,2,100,KSha,KSsk,KS,17,KSh,B,9,1.71,1.47,MW,1,174,20,0,0,0,0,9,Loam,,Loam
11168,215.0,134078,11168,WD20011168,11168,2,100,KSha,KSsk,KS,17,KSh,B,9,1.71,1.47,MW,1,174,20,0,0,0,0,9,Loam,,Loam
11169,6332.0,134079,11169,WD20011169,11169,2,100,KSha,KSye,KS,17,KSh,B,9,1.71,1.47,MW,1,174,22,0,0,0,0,9,Loam,,Loam
11170,4096.0,80698,11170,WD20011170,11170,2,100,FLca,FLca,FL,10,FLc,B,9,1.71,1.49,MW,1,172,0,0,0,0,0,9,Loam,,Loam
11171,16545.0,22559,11171,WD20011171,11171,2,100,AR,ARye,AR,4,ARh,B,12,1.28,1.48,SE,1,82,22,0,0,0,0,12,Loamy sand,,LoamySand
11172,2930.0,42100,11172,WD20011172,11172,2,100,CLpt,CLptye,CL,7,CLp,B,11,1.67,1.44,MW,1,101,22,0,0,0,0,11,Sandy loam,,SandyLoam
11173,104425.0,136252,11173,WD20011173,11173,2,100,KScc,KScc,KS,17,KSk,B,9,1.77,1.4,MW,1,153,0,0,0,0,0,9,Loam,,Loam
11174,3040.0,136250,11174,WD20011174,11174,2,100,KScc,KScc,KS,17,KSk,B,9,1.77,1.4,MW,1,153,0,0,0,0,0,9,Loam,,Loam
11175,430.0,136757,11175,WD40011175,11175,2,100,KScc,KScc,KS,17,KSk,D,9,1.75,1.38,MW,1,154,0,0,0,0,0,9,Loam,,Loam
11176,7910.0,136257,11176,WD20011176,11176,2,100,KScc,KScc,KS,17,KSk,B,9,1.77,1.4,MW,1,153,0,0,0,0,0,9,Loam,,Loam
11177,4624.0,136251,11177,WD20011177,11177,2,100,KScc,KScc,KS,17,KSk,B,9,1.77,1.4,MW,1,153,0,0,0,0,0,9,Loam,,Loam
