flops,imem,pmem,ai_estimate,block_repeat
3336437075107.0,21031670744.0,59335772.0,158.1924064447053,1
3698874092707.0,22483221720.0,84434012.0,163.90156499339673,2
4061311110307.0,23934772696.0,109532252.0,168.90948268582906,3
4423748127907.0,25386323672.0,134630492.0,173.33788147102916,4
4786185145507.0,26837874648.0,159728732.0,177.28185269410383,5
5148622163107.0,28289425624.0,184826972.0,180.8167622924813,6
5511059180707.0,29740976600.0,209925212.0,184.00311333860947,7
5873496198307.0,31192527576.0,235023452.0,186.89003775935572,8
6235933215907.0,32644078552.0,260121692.0,189.5178478633319,9
6598370233507.0,34095629528.0,285219932.0,191.9199303433092,10
