model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
resnet18,False,1,2000,-1,g6.xlarge,0.8,581.5809936523438,3.438901927382372,0.0007642004283071939
resnet18,False,2,2000,-1,g6.xlarge,0.8,1449.023681640625,1.3802396919666242,0.0003067199315481387
resnet18,False,4,2000,-1,g6.xlarge,0.8,1526.1365966796875,1.310498682982418,0.0002912219295516484
resnet18,False,8,2000,-1,g6.xlarge,0.8,1544.1126708984375,1.2952422693586898,0.0002878316154130422
resnet18,False,16,2000,-1,g6.xlarge,0.8,1540.5908203125,1.2982032436064441,0.0002884896096903209
resnet18,False,32,2000,-1,g6.xlarge,0.8,1453.617431640625,1.375877831722684,0.0003057506292717076
resnet18,False,64,2000,-1,g6.xlarge,0.8,1525.71435546875,1.310861363289417,0.000291302525175426
resnet18,False,128,2000,-1,g6.xlarge,0.8,1541.8231201171875,1.2971656566208376,0.0002882590348046306
resnet18,False,256,2000,-1,g6.xlarge,0.8,1147.38525390625,1.7430936934138208,0.0003873541540919602
resnet18,False,512,2000,-1,g6.xlarge,0.8,1553.8697509765625,1.287109166481333,0.000286024259218074
resnet18,False,1024,2000,-1,g6.xlarge,0.8,1423.723876953125,1.4047667756195454,0.0003121703945821212
