model,is_train,batch_size,steps,steps_per_loop,instance,cost_per_hour,steps_per_second,total_time,total_cost
resnet18,False,1,2000,-1,g5.xlarge,1.01,559.2891845703125,3.5759675945397524,0.0010032575751347638
resnet18,False,2,2000,-1,g5.xlarge,1.01,1250.0908203125,1.5998837584456755,0.0004488562766750367
resnet18,False,4,2000,-1,g5.xlarge,1.01,1223.615234375,1.634500735046473,0.00045856826177692714
resnet18,False,8,2000,-1,g5.xlarge,1.01,1241.7396240234375,1.61064361747568,0.0004518750149028991
resnet18,False,16,2000,-1,g5.xlarge,1.01,1231.4974365234375,1.6240391093675952,0.0004556331945725753
resnet18,False,32,2000,-1,g5.xlarge,1.01,1248.1146240234375,1.6024169267024335,0.00044956697110262717
resnet18,False,64,2000,-1,g5.xlarge,1.01,1251.8841552734375,1.5975919110208392,0.00044821328614751317
resnet18,False,128,2000,-1,g5.xlarge,1.01,1247.1470947265625,1.6036600722214736,0.00044991574248435786
resnet18,False,256,2000,-1,g5.xlarge,1.01,1249.3170166015625,1.6008746966726448,0.00044913428989982535
resnet18,False,512,2000,-1,g5.xlarge,1.01,1256.757568359375,1.5913968217520944,0.00044647521943600425
resnet18,False,1024,2000,-1,g5.xlarge,1.01,1158.51123046875,1.7263535712042875,0.0004843380852545362
